R1R2_code,Eigenvalues_0,Eigenvalues_1,Eigenvalues_2,Eigenvalues_3,Eigenvalues_4,Eigenvalues_5,Eigenvalues_6,Eigenvalues_7,Eigenvalues_8,Eigenvalues_9,Eigenvalues_10,Eigenvalues_11,Eigenvalues_12,Eigenvalues_13,Eigenvalues_14,Eigenvalues_15,Eigenvalues_16,Eigenvalues_17,Eigenvalues_18,Eigenvalues_19,Eigenvalues_20,Eigenvalues_21,Eigenvalues_22,Eigenvalues_23,Eigenvalues_24,Eigenvalues_25,Eigenvalues_26,Eigenvalues_27,Eigenvalues_28,Eigenvalues_29,Eigenvalues_30,Eigenvalues_31,Eigenvalues_32,Eigenvalues_33,Eigenvalues_34,Eigenvalues_35,Eigenvalues_36,Eigenvalues_37,Eigenvalues_38,Eigenvalues_39,Eigenvalues_40,Eigenvalues_41,Eigenvalues_42,Eigenvalues_43,Eigenvalues_44,Eigenvalues_45,Eigenvalues_46,Eigenvalues_47,Eigenvalues_48,Eigenvalues_49,Eigenvalues_50,Eigenvalues_51,Eigenvalues_52,Eigenvalues_53,Eigenvalues_54,Eigenvalues_55,Eigenvalues_56,Eigenvalues_57,Eigenvalues_58,Eigenvalues_59,Eigenvalues_60,Eigenvalues_61,Eigenvalues_62,Eigenvalues_63,Eigenvalues_64,Eigenvalues_65,Eigenvalues_66,Eigenvalues_67,Eigenvalues_68,Eigenvalues_69,Eigenvalues_70,Eigenvalues_71,Eigenvalues_72,Eigenvalues_73,Eigenvalues_74,Eigenvalues_75,Eigenvalues_76,Eigenvalues_77,Eigenvalues_78,Eigenvalues_79
1,169.0495575,59.52233929,43.19543389,27.76835073,20.37681518,8.979650331,7.677825755,2.405186085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051357487,-0.052542413,-0.13587234,-0.324147681,-0.433620521,-0.556471523,-0.798086415,-1.099629237
2,179.2367519,59.57987459,48.67642466,31.8786911,20.42452358,20.3798499,7.731894664,7.406213768,2.021953191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041271146,-0.056006908,-0.062559956,-0.06270488,-0.19894879,-0.422457897,-0.450608501,-0.751766148,-0.831621518,-1.076695275
3,232.239262,87.54901447,67.21510805,47.48797316,37.38704687,25.8277422,24.60641184,23.67238843,23.61547055,22.85011015,19.64523854,10.70676015,10.64779701,6.323996239,5.180207188,1.734601687,0.058509052,0.038265938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011331034,-0.018760127,-0.020542624,-0.040676509,-0.053834476,-0.068545013,-0.118467883,-0.122335487,-0.136240553,-0.144999161,-0.147169806,-0.153398412,-0.422526703,-0.472694657,-0.642510895,-0.75946507,-0.764641173,-0.76647044,-0.771482026,-0.846886885,-0.907287968,-1.007363875
4,196.6680948,85.30781736,46.76372261,42.41165175,25.17154102,20.72494497,16.99147972,8.689113666,6.122181732,2.082963347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04219891,-0.053726502,-0.059547297,-0.075531872,-0.273879545,-0.41258233,-0.499107445,-0.767440442,-0.813154743,-1.038110857
5,228.7506287,104.3059533,51.63706281,50.97244496,43.14364419,30.96135266,20.25247708,20.11829584,12.80967315,7.335084083,4.94424251,1.654529087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041229045,-0.062048517,-0.062616856,-0.074055297,-0.417056218,-0.454437838,-0.661817385,-0.831219159,-1.007274899
6,548.0816048,400.1362078,125.60859,55.86334667,41.08473605,26.04607733,20.17833749,8.371248729,7.234265963,2.042993221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051274706,-0.064911658,-0.414180659,-0.44357686,-0.64694564,-0.914315374
7,476.3236134,146.5184721,55.76116865,42.8723279,26.75169444,20.18478535,8.946503165,7.224466989,2.275230909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052651594,-0.068784174,-0.264224901,-0.411653768,-0.490039589,-0.764764034,-0.988327729
8,259.9004993,105.8450158,66.89273391,47.98762449,41.65262962,40.47741571,37.98373415,30.11186045,21.86554112,19.45415126,18.92353663,17.17788359,10.26731046,9.604372234,9.470735734,7.059742984,6.389350291,4.824799241,1.862133866,0.014837137,0.00961576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009648511,-0.037189026,-0.052859066,-0.059575701,-0.070908854,-0.089211167,-0.151132153,-0.154245665,-0.243483524,-0.255250448,-0.266265379,-0.414208486,-0.428343956,-0.491105746,-0.58329047,-0.624635278,-0.667604977,-0.695353856,-0.700423321,-0.832580718,-0.954157511,-1.031461587
9,195.1648595,63.64091851,59.37109626,37.13091218,26.43275771,24.0142406,20.38014291,11.97900854,7.708607623,6.550798162,1.950519713,0.039245045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029089788,-0.050640132,-0.06213332,-0.098232854,-0.120766652,-0.197867886,-0.264959519,-0.451121543,-0.483863061,-0.764012339,-0.779803722,-0.895877443,-1.066991793
10,218.5144809,87.91416271,60.01529407,45.32615971,35.15670704,33.11750913,24.17714391,20.35074473,10.68460863,9.750413018,7.680945506,6.74222438,3.246531211,1.556190471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050710637,-0.057442831,-0.095388891,-0.196746363,-0.253652894,-0.413440465,-0.438077997,-0.504829128,-0.598182137,-0.784089353,-1.000114112,-1.168378262
