YR3_code,Eigenvalues_0,Eigenvalues_1,Eigenvalues_2,Eigenvalues_3,Eigenvalues_4,Eigenvalues_5,Eigenvalues_6,Eigenvalues_7,Eigenvalues_8,Eigenvalues_9,Eigenvalues_10,Eigenvalues_11,Eigenvalues_12,Eigenvalues_13,Eigenvalues_14,Eigenvalues_15,Eigenvalues_16,Eigenvalues_17,Eigenvalues_18,Eigenvalues_19,Eigenvalues_20,Eigenvalues_21,Eigenvalues_22,Eigenvalues_23,Eigenvalues_24,Eigenvalues_25,Eigenvalues_26,Eigenvalues_27,Eigenvalues_28,Eigenvalues_29,Eigenvalues_30,Eigenvalues_31,Eigenvalues_32,Eigenvalues_33,Eigenvalues_34,Eigenvalues_35,Eigenvalues_36,Eigenvalues_37,Eigenvalues_38,Eigenvalues_39,Eigenvalues_40,Eigenvalues_41,Eigenvalues_42,Eigenvalues_43,Eigenvalues_44,Eigenvalues_45,Eigenvalues_46,Eigenvalues_47,Eigenvalues_48,Eigenvalues_49,Eigenvalues_50,Eigenvalues_51,Eigenvalues_52,Eigenvalues_53,Eigenvalues_54,Eigenvalues_55,Eigenvalues_56,Eigenvalues_57,Eigenvalues_58,Eigenvalues_59,Eigenvalues_60,Eigenvalues_61,Eigenvalues_62,Eigenvalues_63,Eigenvalues_64,Eigenvalues_65,Eigenvalues_66,Eigenvalues_67,Eigenvalues_68,Eigenvalues_69,Eigenvalues_70,Eigenvalues_71,Eigenvalues_72,Eigenvalues_73,Eigenvalues_74,Eigenvalues_75,Eigenvalues_76,Eigenvalues_77,Eigenvalues_78,Eigenvalues_79
11,154.2411064,72.48376188,37.52254117,28.96475457,18.84972125,12.34525884,7.308505191,6.379031625,0.00800879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050346482,-0.054507615,-0.058698932,-0.06397246,-0.129772018,-0.3766007,-0.391629674,-0.456929918,-0.783872495,-0.912869401,-0.957443994
21,161.618017,77.65150242,41.86645458,31.93675335,23.78004292,15.634794,10.49037782,6.913150603,6.731381397,0.022356491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048779084,-0.055711867,-0.057105134,-0.060598499,-0.084663963,-0.134630623,-0.332601732,-0.393084311,-0.42001086,-0.617169253,-0.832767551,-0.92143605,-0.962120462
31,183.9822582,77.43163625,52.53223204,31.38749272,29.54105121,24.04241146,17.82788666,15.49379838,8.513575293,6.889000261,5.987242279,0.047313819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000835036,-0.023043247,-0.052594523,-0.053704425,-0.06055585,-0.074262946,-0.12678934,-0.141673689,-0.148677824,-0.388952163,-0.404926542,-0.613379411,-0.657059334,-0.763521489,-0.854730542,-0.92338394,-0.947446663
41,203.47211,69.54785903,65.67967028,38.71092988,36.800788,29.62472047,23.33772535,15.65491802,14.22401327,12.92565027,8.186346609,6.722600005,5.760138184,0.095278307,0.043528641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009240771,-0.039650075,-0.05588632,-0.061582766,-0.066101307,-0.096213865,-0.108766595,-0.146710812,-0.149902502,-0.160205574,-0.377260476,-0.415214717,-0.476916189,-0.505125936,-0.624474204,-0.64944188,-0.891365991,-0.905632762,-0.936012847,-0.953998667
51,199.3596637,70.10621794,60.56557562,36.90680063,32.28850296,25.76310873,20.96814501,12.87766673,11.9490581,8.158368033,6.858594263,4.742742291,0.102081728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016827167,-0.039224619,-0.0519884,-0.060139119,-0.096205456,-0.109631187,-0.162460685,-0.181105202,-0.334476984,-0.366649535,-0.407975521,-0.428294506,-0.606108739,-0.698475258,-0.902797213,-0.909434847,-0.976264511
61,200.3447665,70.93143299,63.25864185,36.78980337,32.60743469,26.0290635,21.23506011,10.43231992,9.943235971,6.527439008,6.294547555,1.855125668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037879424,-0.051757825,-0.056084498,-0.058994514,-0.128992567,-0.317726294,-0.373909223,-0.457186169,-0.570295643,-0.90122053,-0.907454383,-1.088903222
71,234.7693807,79.0283997,78.09296356,50.50590352,41.00342204,31.30965638,29.1409535,24.03088082,20.08762039,11.62381319,9.904798292,8.744733453,7.091894558,5.457483041,3.978680015,1.135183772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025786411,-0.031891503,-0.076801702,-0.079560637,-0.162872142,-0.189137632,-0.370034345,-0.386105026,-0.48936835,-0.508406681,-0.825662121,-0.897706431,-0.938751582,-1.19279477
81,252.692661,89.32579752,68.53021707,61.63271316,42.03164666,34.93336937,31.92543954,28.62172734,24.41162835,22.11461145,11.13961117,10.12203368,9.981272492,7.276759084,6.334639495,6.257202298,2.847012399,1.34875675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038192411,-0.04973478,-0.061740834,-0.065749463,-0.104504818,-0.166158973,-0.321261599,-0.370283376,-0.380133832,-0.440799203,-0.548359048,-0.567299154,-0.901904094,-0.904951597,-1.00434121,-1.154586494
91,245.9629862,114.6853191,71.04798964,63.18665677,51.18665573,36.25952004,35.51139845,33.67651003,25.86813685,23.17879744,20.51664092,13.84398405,10.54708603,10.30029224,8.244512224,7.359600231,6.581919877,6.433132435,2.160787521,2.120592805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017648123,-0.049213432,-0.050618878,-0.053243029,-0.058744468,-0.103967668,-0.138722376,-0.145872966,-0.309955536,-0.325360408,-0.428049745,-0.44292644,-0.477094275,-0.560172991,-0.571399912,-0.77755771,-0.905256047,-0.910569056,-1.066956166,-1.11588092
101,264.3958051,91.23232069,71.74963446,69.240403,43.68048422,39.75348128,39.13595905,30.6026804,24.32510677,21.4522029,21.39240714,19.39845663,10.40576932,9.733469103,9.2325065,6.957994477,5.996807747,5.947233403,2.626062952,0.995565208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010351688,-0.046703791,-0.048419915,-0.050675092,-0.05327258,-0.06992849,-0.070161988,-0.114325024,-0.16847398,-0.196373828,-0.37435683,-0.3806028,-0.495264484,-0.500711547,-0.775525751,-0.79630195,-0.90650375,-0.911095387,-0.997767362,-1.124225736
111,259.7210563,93.97398138,83.23252772,61.46096921,44.47788174,37.90915326,34.05046826,32.83450523,29.40798626,26.22553655,18.45274376,13.18470171,9.914669758,9.552107073,8.845395434,8.36276859,6.715768569,5.093006896,3.028281607,2.516941655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029964313,-0.049763387,-0.058963256,-0.064400346,-0.075361467,-0.141084512,-0.208448224,-0.277119464,-0.347646053,-0.361759498,-0.382124277,-0.457511031,-0.475869201,-0.581950537,-0.604557664,-0.613566411,-0.909452158,-0.924596177,-1.095324898,-1.137679721
121,273.0316791,107.9254829,84.93605625,68.52511159,57.16586933,39.00670607,35.68596059,34.98678813,33.48998858,30.10134629,26.04665959,18.91224521,16.46533003,15.49845278,9.747731416,9.741346139,9.233034876,8.053455298,7.477933421,7.17223402,5.557388408,2.962943319,2.913952352,0.028984928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031031961,-0.055157424,-0.057471534,-0.062254856,-0.076464911,-0.102499892,-0.12197516,-0.130825822,-0.147915253,-0.261601966,-0.267260524,-0.396748529,-0.406378931,-0.450742955,-0.46216162,-0.593927596,-0.597608411,-0.611267989,-0.623649063,-0.632240631,-0.734167188,-0.927357552,-0.934474967,-1.11455387,-1.129318099
12,175.7535011,77.73578778,36.98191999,34.87865167,26.18093454,19.05790633,17.40343816,13.49374734,9.315023629,7.239925327,0.088032941,0.045726902,0.029804868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016627553,-0.021033845,-0.068614824,-0.087862266,-0.104594673,-0.142654054,-0.1543849,-0.165306096,-0.189068268,-0.432640459,-0.49090875,-0.517228157,-0.735471132,-0.785091469,-0.823718601,-0.928686433,-0.958252666
22,178.2974089,87.68903793,41.93892692,35.71553013,30.14607829,21.29860512,18.06266407,14.51433568,11.90141818,9.132687578,7.864184865,0.115157095,0.047398505,0.033405497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014176986,-0.032910917,-0.051340684,-0.065394868,-0.076767053,-0.12785349,-0.142223496,-0.150649326,-0.175689119,-0.188186876,-0.384390431,-0.493809508,-0.502639322,-0.607924251,-0.762901169,-0.80412105,-0.84433761,-0.932520933,-0.958640055
32,206.2012197,78.56145539,55.81094957,35.86691857,32.9913076,24.59877952,21.93576377,21.01962467,15.73564769,14.85891193,9.83057261,9.661625115,6.552518478,0.103667722,0.073430276,0.019136242,0.012278994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003965284,-0.04420088,-0.048205907,-0.067143256,-0.081072814,-0.106760523,-0.138248111,-0.158812232,-0.162995399,-0.167504853,-0.177207692,-0.180247347,-0.486164554,-0.508445601,-0.590147101,-0.63510478,-0.765788934,-0.796407964,-0.812021156,-0.86959568,-0.932623298,-0.944572483
42,220.1193671,83.74325094,61.8136295,39.04728746,36.17635031,33.45763761,29.06732191,21.02218884,18.76354405,15.43959223,14.21366521,13.56904664,9.637100709,8.714629579,5.862932393,0.096180226,0.062044248,0.042288644,0.004301849,0.002128652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015173159,-0.023843817,-0.068640918,-0.074553642,-0.086515912,-0.090795349,-0.126691948,-0.128148292,-0.138454299,-0.158115309,-0.162491402,-0.178887242,-0.190501971,-0.445989048,-0.493746689,-0.50807882,-0.527472843,-0.607578639,-0.653093017,-0.796675457,-0.802916091,-0.884139379,-0.922722411,-0.938371079,-0.958108971
52,218.7549866,73.65862002,64.83755052,37.73525196,35.38209,28.7982528,26.21864417,18.39526565,18.21621968,12.51717013,12.33438984,9.503513321,8.563627481,5.645100327,0.114096915,0.092885868,0.018412673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002414631,-0.017916373,-0.034429162,-0.068046076,-0.101191026,-0.102993812,-0.123291696,-0.138280626,-0.157632354,-0.166039627,-0.177869822,-0.214159151,-0.362205872,-0.395540584,-0.485274258,-0.511918034,-0.600290922,-0.685891187,-0.796534806,-0.805853923,-0.912660167,-0.936946187,-0.974020449
62,221.8039065,71.59359981,68.68548425,39.61260108,34.05120828,29.1268608,27.66214091,18.05018873,17.64434642,11.17157589,10.92471825,7.134412449,6.861950612,1.949990761,0.078280409,0.036386797,0.008781762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043972309,-0.076811815,-0.095418323,-0.104134666,-0.122330985,-0.134694709,-0.146358081,-0.167534734,-0.347015486,-0.461748297,-0.54029569,-0.560354356,-0.7858178,-0.822846119,-0.9278301,-0.943263828,-1.10132918
72,255.9247341,82.0591125,80.89277261,50.76530563,40.75961145,33.01822698,31.71852435,30.57862792,23.26751332,19.24435801,17.44954863,11.78967705,10.71383868,9.091454111,7.654098015,5.619653844,4.255328436,1.133235363,0.097726414,0.015666898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016549413,-0.031899641,-0.05548692,-0.075549428,-0.103231501,-0.130742755,-0.146785412,-0.173532137,-0.188857545,-0.213167884,-0.431714287,-0.440822971,-0.499778819,-0.560161079,-0.785200056,-0.804771287,-0.846538014,-0.931346639,-0.962146553,-1.203634004
82,265.3045316,97.47473926,72.9200546,63.71791054,42.93097266,35.80492132,34.73772712,30.16563833,29.41195994,24.67856905,19.25796824,17.14039788,11.29932282,10.63361972,10.42427829,7.682955819,6.936001872,6.732461858,2.949254539,1.379542824,0.056837782,0.047051756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024911298,-0.040296975,-0.065046795,-0.084551167,-0.094746846,-0.116256063,-0.127032114,-0.139857334,-0.14641095,-0.169783744,-0.347897946,-0.3607663,-0.478718467,-0.522443954,-0.568920328,-0.56969154,-0.79151771,-0.822309998,-0.933574695,-0.939288621,-1.015788442,-1.163598118
92,270.5059672,115.4405101,70.41265509,65.00547464,51.98957235,37.0375603,35.84456222,33.96427341,29.43976391,28.22498002,24.83913054,18.52052428,18.14896174,13.73190822,10.80539613,10.51577154,8.527931012,7.768052126,6.876062628,6.717231948,2.285629147,2.101350281,0.054042059,0.034791642,0.007555577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013871667,-0.060868398,-0.06822708,-0.075048522,-0.082957672,-0.102419315,-0.120877357,-0.13308951,-0.151679257,-0.164786588,-0.181916035,-0.347679391,-0.354805893,-0.443463619,-0.507631905,-0.514796796,-0.556678807,-0.569417096,-0.784686151,-0.807218261,-0.809437064,-0.934622704,-0.937834156,-1.071388041,-1.12473801
102,285.2302287,92.87238859,74.9153498,72.25700936,44.1981551,40.30261345,37.52394899,34.44909052,29.14615174,25.7103221,21.9212038,19.48651008,18.43370137,17.177038,11.4777462,10.47417414,9.209734478,6.930563458,6.447346591,6.376543675,2.692854349,1.077458441,0.070836934,0.034254459,0.009617464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008985197,-0.025100159,-0.04018108,-0.063733704,-0.092078358,-0.099812616,-0.110698376,-0.132748165,-0.138582417,-0.151054325,-0.167242554,-0.185824951,-0.212162755,-0.433129334,-0.447055172,-0.514767865,-0.527913626,-0.774073044,-0.785644148,-0.800032298,-0.833404316,-0.930761012,-0.936293973,-1.011020505,-1.123023081
112,277.1673404,93.56652703,90.38995276,63.68049061,46.46030195,38.51258897,34.57805969,33.28648575,31.4788962,29.49236369,23.76264073,19.28505073,15.82465838,12.7105327,10.29589759,9.789476597,9.47880109,9.44540129,7.978492436,6.071549007,3.066711226,2.647858601,0.076663391,0.010726116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028340195,-0.035008161,-0.058395524,-0.065434246,-0.079845667,-0.09331452,-0.126252072,-0.151777604,-0.157474598,-0.170312593,-0.226652723,-0.283903999,-0.359302505,-0.41876563,-0.454430514,-0.480875092,-0.530152477,-0.557443504,-0.603319713,-0.60682976,-0.793821871,-0.813234632,-0.923637166,-0.939162012,-1.093210513,-1.127050865
122,287.1362042,108.0662973,86.64182779,81.65143657,54.45445904,38.94208547,36.7336005,35.79689137,33.80204607,32.90219467,29.20341052,21.57127449,20.28862844,18.76002582,16.98385121,15.0182591,10.241808,9.741204968,9.723892529,9.04136601,8.302077489,7.948097503,5.853680899,2.95557128,2.909887724,0.079250512,0.028949765,0.019692988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004963645,-0.017480532,-0.051447262,-0.059305625,-0.078774689,-0.104560335,-0.105349517,-0.127328297,-0.137895207,-0.144359021,-0.166784626,-0.18580655,-0.200871927,-0.262994291,-0.272299582,-0.4515585,-0.464143196,-0.483420946,-0.510981965,-0.590072917,-0.599726377,-0.605104061,-0.625811422,-0.6309146,-0.73834601,-0.799925528,-0.805923642,-0.933949309,-0.940384471,-1.11521782,-1.128435997
