YR3_code,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,VBur_m,VBur_max,VBur_min,Mulliken_charge_m,Mulliken_charge_max,Mulliken_charge_min,APT_charge_m,APT_charge_max,APT_charge_min,Frequencies_m,Frequencies_max,Frequencies_min,Red masses_m,Red masses_max,Red masses_min,Frc consts_m,Frc consts_max,Frc consts_min,IR Inten_m,IR Inten_max,IR Inten_min
11,20,0,1,1.9726,,,1602.2923,-345.1729501,0.175606,0.185468,0.186412,0.139842,-345.167603,-345.157741,-345.156797,-345.203366,C6H12N2,1,-0.24231,0.00559,0.11836,0.12395,0.395079452,0.534770296,0.292243549,0,0.174173,-0.502163,1.00E-07,0.507847,-0.653072,1427.445596,3149.6127,45.1792,1.868814815,7.7021,1.0391,2.558244444,14.2089,0.004,20.17256111,139.7083,0.2637
21,23,0,1,1.3592,,,1827.061,-384.5112415,0.204222,0.21538,0.216324,0.166321,-384.451607,-384.440449,-384.439505,-384.489508,C7H14N2,1,-0.2371,0.00995,0.113575,0.123525,0.409359865,0.564269981,0.293187539,-1.81E-18,0.172028,-0.503103,-4.35E-08,0.494652,-0.643104,1422.903192,3148.7592,36.9911,1.839373016,7.7198,1.0403,2.482274603,14.2706,0.002,19.18844762,116.5449,0.4182
31,29,0,1,0.5395,,,2276.635,-463.1491626,0.260045,0.273978,0.274923,0.219372,-463.023275,-463.009342,-463.008398,-463.063949,C9H18N2,1,-0.23516,0.00917,0.112995,0.122165,0.44179,0.765261171,0.292086218,-6.90E-08,0.173233,-0.50302,-3.45E-08,0.495272,-0.647818,1409.219206,3148.7715,31.5937,1.801017284,7.8232,1.039,2.393144444,14.4626,0.0014,17.20221481,124.9513,0.1275
41,35,0,1,1.2573,,,3067.8017,-541.8745262,0.317662,0.334187,0.335131,0.274068,-541.581737,-541.565213,-541.564268,-541.625332,C11H22N2,1,-0.23029,0.0115,0.109395,0.120895,0.4638317,0.824732536,0.292715544,-1.59E-18,0.176243,-0.502756,2.86E-08,0.487072,-0.629142,1408.461707,3160.6615,40.9977,1.77699697,7.7058,1.0394,2.334492929,14.1996,0.003,16.35435152,130.6242,0.0289
51,30,0,1,1.7738,,,2583.375,-501.3072158,0.269842,0.282924,0.283868,0.229919,-501.129614,-501.116532,-501.115588,-501.169537,C10H18N2,1,-0.23476,0.0074,0.11368,0.12108,0.459841095,0.72152297,0.293423537,2.43E-18,0.19208,-0.512864,-6.67E-08,0.498738,-0.6693,1410.082538,3148.7028,43.7418,1.910036905,9.6325,1.0399,2.414511905,17.2737,0.0035,15.37288095,138.1039,0.0574
61,24,0,1,3.4031,,,2214.1919,-497.6802676,0.198948,0.210832,0.211776,0.160638,-497.577333,-497.56545,-497.564506,-497.615643,C10H12N2,1,-0.20369,-0.0234,0.113545,0.090145,0.435575965,0.676447451,0.293030208,-4.17E-08,0.237052,-0.505947,-8.33E-08,0.578722,-0.773215,1323.155785,3211.9731,56.8093,2.487809091,9.3172,1.0383,2.750648485,16.9221,0.0065,17.65994242,183.9136,0.124
71,30,0,1,3.0344,,,3711.5983,-651.4209385,0.24542,0.259124,0.260069,0.205352,-651.175522,-651.161817,-651.160873,-651.21559,C14H14N2,1,-0.18924,-0.03327,0.111255,0.077985,0.453151877,0.693203272,0.2937382,3.33E-08,0.181844,-0.506307,6.67E-08,0.56614,-0.752154,1282.44379,3210.5309,-1.7089,2.63487381,7.7972,1.0418,2.63185119,14.0639,0,17.388925,277.906,0.015
81,34,0,1,1.2689,,,4897.3564,-728.8116102,0.27961,0.296194,0.297138,0.234528,-728.558111,-728.541527,-728.540583,-728.603194,C16H16N2,1,-0.21132,-0.03363,0.122475,0.088845,0.457513512,0.706655129,0.293108874,-5.88E-08,0.217818,-0.505497,-2.94E-08,0.547759,-0.659508,1278.486364,3216.3424,18.9583,2.696089583,7.4327,1.0425,2.656145833,13.2567,0.0009,13.54513646,303.1139,0.0005
91,40,0,1,2.165,,,5473.7552,-807.4506597,0.337536,0.356484,0.357428,0.289288,-807.113124,-807.094175,-807.093231,-807.161371,C18H20N2,1,-0.2126,-0.02495,0.118775,0.093825,0.475373663,0.725220264,0.292872876,5.00E-08,0.211811,-0.502385,-2.50E-08,0.445698,-0.54508,1299.659899,3206.2864,26.077,2.390342982,7.6015,1.0415,2.485200877,13.6412,0.0018,9.001883333,126.6943,0.0723
101,40,0,1,3.2463,,,5259.6159,-807.4083041,0.334639,0.354821,0.355765,0.285596,-807.135404,-807.115222,-807.114278,-807.184447,C18H20N2,1,-0.2104,-0.02506,0.11773,0.09267,0.465544368,0.784927627,0.29279421,4.42E-18,0.250838,-0.543161,5.00E-08,0.545554,-0.675653,1288.506358,3206.3811,27.7853,2.543386842,7.6258,1.0373,2.589133333,13.4963,0.0019,12.8608807,256.9392,0.004
111,40,0,1,3.7987,,,5495.2006,-807.143268,0.340147,0.359068,0.360012,0.290224,-806.905706,-806.886786,-806.885841,-806.95563,C18H20N2,1,-0.23278,-0.01042,0.1216,0.11118,0.473043188,0.757001259,0.293266205,-5.00E-08,0.184963,-0.47597,2.50E-08,0.49553,-0.701853,1309.714611,3231.7717,24.9391,2.486431579,9.1346,1.0449,2.521892982,15.8218,0.0016,12.50206667,148.6312,0.1277
121,49,0,1,2.0095,,,7244.5298,-925.1731955,0.423587,0.446387,0.447332,0.369535,-924.932049,-924.909248,-924.908304,-924.986101,C21H26N2,1,-0.2264,-0.00401,0.115205,0.111195,0.497049229,0.837712398,0.291771554,2.04E-08,0.180861,-0.494146,-2.04E-08,0.434566,-0.558131,1318.676167,3223.7941,23.7692,2.303719149,7.7396,1.0391,2.411968794,14.3408,0.0015,9.247506383,112.3664,0.0076
12,30,0,1,1.1465,,,2008.6611,-426.3420526,0.281024,0.294081,0.295025,0.241511,-426.099765,-426.086708,-426.085764,-426.139278,C8H20N2,1,-0.18995,0.08776,0.051095,0.138855,0.454486574,0.70814978,0.302706104,3.33E-08,0.175637,-0.464656,1.56E-18,0.50477,-0.757573,1468.515496,3149.5345,37.3818,1.543363095,3.0788,1.0363,2.180905952,6.4166,0.0025,21.75708333,219.2696,0.1144
22,33,0,1,0.4379,,,2026.459,-465.6409312,0.309702,0.324094,0.325038,0.26758,-465.38484,-465.370447,-465.369503,-465.426961,C9H22N2,1,-0.19893,0.08873,0.0551,0.14383,0.458760036,0.715937697,0.301683449,3.03E-08,0.171549,-0.465866,2.31E-18,0.489009,-0.75149,1461.755328,3149.4229,23.7601,1.551493548,3.1569,1.0368,2.163050538,6.4411,0.001,21.7199957,246.5656,0.0255
32,39,0,1,0.6761,,,2821.568,-544.2375174,0.365696,0.382792,0.383736,0.322105,-543.947207,-543.930111,-543.929167,-543.990798,C11H26N2,1,-0.1881,0.07779,0.055155,0.132945,0.488950477,0.795075519,0.302942102,-5.13E-08,0.173253,-0.46758,2.56E-08,0.497233,-0.751363,1446.142878,3158.4735,42.077,1.579591892,3.3748,1.0362,2.159858559,6.4313,0.003,18.36156036,123.2756,0.0276
42,45,0,1,1.4786,,,3672.3868,-622.6305685,0.423679,0.443271,0.444215,0.377224,-622.508262,-622.48867,-622.487726,-622.554717,C13H30N2,1,-0.19147,0.07712,0.057175,0.134295,0.501590798,0.845264317,0.30278477,-6.17E-19,0.170305,-0.466768,-1.54E-19,0.488173,-0.75198,1441.657245,3156.5824,43.6422,1.58575814,3.0446,1.0363,2.14738062,6.4447,0.0034,17.60844961,134.816,0.0739
52,40,0,1,1.0612,,,3231.9519,-582.3038525,0.375495,0.391591,0.392535,0.332805,-582.047566,-582.03147,-582.030526,-582.090256,C12H26N2,1,-0.18239,0.08607,0.04816,0.13423,0.499134676,0.775723726,0.303020768,-3.12E-18,0.184436,-0.466061,-1.25E-07,0.47243,-0.778522,1445.816918,3181.2368,35.4975,1.610515789,3.1034,1.0363,2.136885965,6.5159,0.0023,18.51038509,122.4509,0.1053
62,34,0,1,0.9958,,,3113.5118,-578.7817006,0.304835,0.319886,0.32083,0.263305,-578.511069,-578.496019,-578.495074,-578.5526,C12H20N2,1,-0.1826,0.01423,0.084185,0.098415,0.474218432,0.740402769,0.30223411,-2.94E-08,0.265124,-0.467509,-2.94E-08,0.479394,-0.856256,1393.826228,3220.5527,46.9489,1.93901875,7.1593,1.0362,2.315094792,8.6034,0.0035,21.90154792,169.1934,0.0114
72,40,0,1,1.4507,,,4407.4111,-732.2317703,0.351439,0.369212,0.370156,0.306776,-732.097289,-732.079516,-732.078571,-732.141952,C16H22N2,1,-0.17253,-0.02183,0.09718,0.07535,0.497118864,0.77658905,0.301998112,2.50E-08,0.234022,-0.467003,2.50E-08,0.598147,-0.95004,1353.190992,3232.324,43.1596,2.11012193,5.5814,1.0372,2.314774561,9.028,0.0041,23.17412982,297.9559,0.0486
82,44,0,1,1.2781,,,4937.5734,-809.7577932,0.385032,0.405174,0.406118,0.335882,-809.482581,-809.462439,-809.461495,-809.531731,C18H24N2,1,-0.18027,-0.00711,0.09369,0.08658,0.491647119,0.776353052,0.30278477,-1.58E-19,0.304437,-0.465926,2.27E-08,0.542767,-0.900567,1341.344855,3226.613,30.2771,2.167835714,6.9681,1.0362,2.336187302,8.86,0.0019,19.50511349,123.1805,0.0443
92,50,0,1,1.6642,,,6846.7649,-888.4262691,0.442419,0.465003,0.465947,0.388426,-888.055371,-888.032787,-888.031843,-888.109363,C20H28N2,1,-0.20012,0.00339,0.098365,0.101755,0.488431403,0.758889239,0.301998112,-4.00E-08,0.197374,-0.465213,2.00E-08,0.479366,-0.795268,1348.607601,3209.828,17.1419,2.048161806,5.8967,1.036,2.263163194,9.2387,0.0007,15.19735278,142.5637,0.0884
102,50,0,1,1.7457,,,6301.0482,-888.4099321,0.441224,0.464432,0.465376,0.38978,-888.053156,-888.029948,-888.029003,-888.104599,C20H28N2,1,-0.17512,0.00534,0.08489,0.09023,0.506351479,0.845814978,0.309550031,-4.00E-08,0.313443,-0.547474,6.00E-08,0.631681,-0.946814,1344.963474,3229.4555,32.1335,2.074584722,6.1866,1.0357,2.287574306,9.629,0.002,19.07734236,139.0379,0.0969
112,50,0,1,1.1117,,,6347.4506,-888.0572266,0.445753,0.467917,0.468861,0.39392,-887.81298,-887.790816,-887.789872,-887.864814,C20H28N2,1,-0.18271,-0.0016,0.092155,0.090555,0.503717747,0.825440529,0.300424795,-6.00E-08,0.160019,-0.443008,-2.00E-08,0.463601,-0.790277,1358.771368,3223.7266,27.9138,2.119460417,6.364,1.0358,2.3116625,9.0171,0.002,15.43764167,199.8387,0.0059
122,59,0,1,1.6544,,,7629.3659,-1005.997368,0.529958,0.555658,0.556602,0.474142,-1005.872662,-1005.846962,-1005.846018,-1005.928477,C23H34N2,1,-0.19581,-0.00284,0.099325,0.096485,0.521509104,0.853681561,0.311752675,-5.08E-08,0.181014,-0.477266,3.39E-08,0.483866,-0.746793,1360.377794,3226.0456,25.9437,2.044340351,6.2103,1.0363,2.254163743,9.1784,0.0017,13.77007485,183.8261,0.0171
13,50,0,1,0.8548,,,6038.8091,-888.3098657,0.444095,0.466006,0.466951,0.389925,-888.045972,-888.02406,-888.023116,-888.100141,C20H28N2,1,-0.18901,-0.00221,0.09561,0.0934,0.494650724,0.757394588,0.301998112,4.00E-08,0.167594,-0.464523,4.00E-08,0.514095,-0.794206,1353.717243,3209.8239,15.7651,2.086463194,6.2919,1.0367,2.2757625,9.187,0.0007,15.000275,277.2295,0.0154
23,53,0,1,0.6076,,,8844.5624,-927.636405,0.472745,0.495954,0.496898,0.415633,-927.332522,-927.309313,-927.308368,-927.389634,C21H30N2,1,-0.19914,0.00231,0.098415,0.100725,0.493751262,0.751651982,0.304358087,5.66E-08,0.167897,-0.466408,-7.90E-19,0.480189,-0.78555,1356.280096,3213.5293,10.0045,2.074834641,6.3076,1.0364,2.271681699,9.1881,0.0003,14.80625621,200.0573,0.008
