YR3_code,sLi,ssBe,ssssBe,ssBH,sssB,ssssB,sCH3,dCH2,ssCH2,tCH,dsCH,aaCH,sssCH,ddC,tsC,dssC,aasC,aaaC,ssssC,sNH3,sNH2,ssNH2,dNH,ssNH,aaNH,tN,sssNH,dsN,aaN,sssN,ddsN,aasN,ssssN,sOH,dO,ssO,aaO,sF,sSiH3,ssSiH2,sssSiH,ssssSi,sPH2,ssPH,sssP,dsssP,sssssP,sSH,dS,ssS,aaS,dssS,ddssS,sCl,sGeH3,ssGeH2,sssGeH,ssssGe,sAsH2,ssAsH,sssAs,sssdAs,sssssAs,sSeH,dSe,ssSe,aaSe,dssSe,ddssSe,sBr,sSnH3,ssSnH2,sssSnH,ssssSn,sI,sPbH3,ssPbH2,sssPbH,ssssPb
11,0,0,0,0,0,0,3.824722222,0,1.640555556,0,3.593611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.941111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,3.867239229,0,2.885277778,0,3.658055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.089427438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,8.234461451,0,1.723888889,0,3.689305556,0,0,0,0,0,0,0,0.207361111,0,0,0,0,0,0,0,0,8.394982993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,8.386961451,0,4.123055556,0,3.769305556,0,0,0,0,0,0,0,0.290694444,0,0,0,0,0,0,0,0,8.679982993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,3.974852608,0,5.063665911,0,3.821759259,0,0.916574074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.889814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,3.790555556,0,0,0,3.535740741,7.804259259,0,0,0,0,1.829814815,0,0,0,0,0,0,0,0,0,0,8.372962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,3.842331822,0,0,0,3.613518519,12.22185185,0,0,0,0,1.946666667,2.28462963,0,0,0,0,0,0,0,0,0,8.757668178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,3.846985072,0,0,0,3.620109599,16.2264059,0,0,0,0,4.158431595,0,0,0,0,0,0,0,0,0,0,8.814734505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,3.892944171,0,1.951906652,0,3.682849269,16.61257716,0,0,0,0,4.680287121,0,0,0,0,0,0,0,0,0,0,8.846102293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,8.120960884,0,0,0,3.665294785,12.42918367,0,0,0,0,6.765937264,0,0,0,0,0,0,0,0,0,0,9.018623394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,3.904074074,0,0,0,3.719814815,20.67630763,0.027407407,0,0,0,2.370468632,0,0,0,0,0,0,0,0,0,0,9.301927438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,3.970005669,0,3.559608844,0,3.806342593,21.35410525,0,0,0,0,2.696365268,0,0.015601852,0,0,0,0,0,0,0,0,9.181303855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,8.685408163,0,4.663480726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.651111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,8.741033163,0,6.057577948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.701388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,13.46950539,0,4.625216837,0,0,0,0,0,0,0,0,0,0.398333333,0,0,0,0,0,0,0,0,0,0,4.756944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
