entry,YR3_code,R1R2_code,Temp_code,Ratio_code,yield,catalyst
0,31,15,70,100,0.97,A15Y3B1
1,31,3,70,100,0.93,A3Y3B1
2,51,3,70,100,0.93,A3Y5B1
3,31,8,70,100,0.93,A8Y3B1
4,21,3,70,100,0.92,A3Y2B1
5,41,3,70,100,0.92,A3Y4B1
6,11,8,70,100,0.9,A8Y1B1
7,21,13,70,100,0.9,A13Y2B1
8,121,3,70,100,0.88,A3Y12B1
9,51,13,70,100,0.88,A13Y5B1
10,111,2,70,100,0.86,A2Y11B1
11,31,10,70,100,0.85,A10Y3B1
12,81,1,70,100,0.84,A1Y8B1
13,11,3,70,100,0.83,A3Y1B1
14,111,4,70,100,0.83,A4Y11B1
15,21,10,70,100,0.83,A10Y2B1
16,21,9,70,100,0.82,A9Y2B1
17,11,10,70,100,0.82,A10Y1B1
18,13,1,70,100,0.79,A1Y1B3
19,61,3,70,100,0.79,A3Y6B1
20,11,9,70,100,0.78,A9Y1B1
21,21,14,70,100,0.78,A14Y2B1
22,21,1,70,100,0.77,A1Y2B1
23,111,5,70,100,0.76,A5Y11B1
24,21,16,70,100,0.76,A16Y2B1
25,101,14,70,100,0.73,A14Y10B1
26,111,1,70,100,0.72,A1Y11B1
27,11,1,70,100,0.72,A1Y1B1
28,71,3,70,100,0.72,A3Y7B1
29,11,7,70,100,0.7,A7Y1B1
30,11,14,70,100,0.69,A14Y1B1
31,12,1,70,100,0.68,A1Y1B2
32,61,10,70,100,0.68,A10Y6B1
33,101,11,70,100,0.65,A11Y10B1
34,101,12,70,100,0.65,A12Y10B1
35,52,1,70,100,0.64,A1Y5B2
36,31,16,70,100,0.64,A16Y3B1
37,31,1,70,100,0.63,A1Y3B1
38,81,3,70,100,0.63,A3Y8B1
39,21,6,70,100,0.6,A6Y2B1
40,91,6,70,100,0.6,A6Y9B1
41,31,6,70,100,0.59,A6Y3B1
42,12,3,70,100,0.58,A3Y1B2
43,51,6,70,100,0.57,A6Y5B1
44,11,6,70,100,0.56,A6Y1B1
45,91,3,70,100,0.55,A3Y9B1
46,91,1,70,100,0.5,A1Y9B1
47,61,8,70,100,0.45,A8Y6B1
48,52,14,70,100,0.44,A14Y5B2
