entry,YR3_code,R1R2_code,Temp_code,Ratio_code,yield,catalyst
0,31,15,70,100,0.97,A15Y3B1
1,31,11,70,100,0.95,A11Y3B1
2,31,3,70,100,0.93,A3Y3B1
3,51,3,70,100,0.93,A3Y5B1
4,31,8,70,100,0.93,A8Y3B1
5,21,3,70,100,0.92,A3Y2B1
6,41,3,70,100,0.92,A3Y4B1
7,21,11,70,100,0.92,A11Y2B1
8,11,8,70,100,0.9,A8Y1B1
9,21,13,70,100,0.9,A13Y2B1
10,13,4,70,100,0.89,A4Y1B3
11,121,3,70,100,0.88,A3Y12B1
12,51,13,70,100,0.88,A13Y5B1
13,111,2,70,100,0.86,A2Y11B1
14,81,4,70,100,0.86,A4Y8B1
15,31,10,70,100,0.85,A10Y3B1
16,111,8,70,100,0.85,A8Y11B1
17,12,4,70,100,0.85,A4Y1B2
18,81,1,70,100,0.84,A1Y8B1
19,11,3,70,100,0.83,A3Y1B1
20,111,4,70,100,0.83,A4Y11B1
21,21,10,70,100,0.83,A10Y2B1
22,21,9,70,100,0.82,A9Y2B1
23,11,10,70,100,0.82,A10Y1B1
24,51,8,70,100,0.82,A8Y5B1
25,21,7,70,100,0.81,A7Y2B1
26,13,1,70,100,0.79,A1Y1B3
27,61,3,70,100,0.79,A3Y6B1
28,111,16,70,100,0.79,A16Y11B1
29,11,9,70,100,0.78,A9Y1B1
30,21,14,70,100,0.78,A14Y2B1
31,21,1,70,100,0.77,A1Y2B1
32,111,14,70,100,0.77,A14Y11B1
33,51,14,70,100,0.77,A14Y5B1
34,111,5,70,100,0.76,A5Y11B1
35,21,16,70,100,0.76,A16Y2B1
36,101,14,70,100,0.73,A14Y10B1
37,111,1,70,100,0.72,A1Y11B1
38,11,1,70,100,0.72,A1Y1B1
39,71,3,70,100,0.72,A3Y7B1
40,31,14,70,100,0.72,A14Y3B1
41,11,7,70,100,0.7,A7Y1B1
42,11,14,70,100,0.69,A14Y1B1
43,21,8,70,100,0.69,A8Y2B1
44,22,5,70,100,0.69,A5Y2B2
45,12,1,70,100,0.68,A1Y1B2
46,61,10,70,100,0.68,A10Y6B1
47,101,11,70,100,0.65,A11Y10B1
48,101,12,70,100,0.65,A12Y10B1
49,52,1,70,100,0.64,A1Y5B2
50,31,16,70,100,0.64,A16Y3B1
51,31,1,70,100,0.63,A1Y3B1
52,81,3,70,100,0.63,A3Y8B1
53,21,6,70,100,0.6,A6Y2B1
54,91,6,70,100,0.6,A6Y9B1
55,31,6,70,100,0.59,A6Y3B1
56,12,3,70,100,0.58,A3Y1B2
57,51,6,70,100,0.57,A6Y5B1
58,11,6,70,100,0.56,A6Y1B1
59,33,5,70,100,0.55,A5Y3B3
60,91,3,70,100,0.55,A3Y9B1
61,21,4,70,100,0.52,A4Y2B1
62,91,8,70,100,0.52,A8Y9B1
63,61,4,70,100,0.51,A4Y6B1
64,91,1,70,100,0.5,A1Y9B1
65,22,6,70,100,0.49,A6Y2B2
66,23,5,70,100,0.48,A5Y2B3
67,62,3,70,100,0.46,A3Y6B2
68,61,8,70,100,0.45,A8Y6B1
69,52,14,70,100,0.44,A14Y5B2
70,71,16,70,100,0.41,A16Y7B1
71,13,3,70,100,0.39,A3Y1B3
72,13,2,70,100,0.39,A2Y1B3
73,81,6,70,100,0.37,A6Y8B1
74,52,6,70,100,0.3,A6Y5B2
75,52,5,70,100,0.26,A5Y5B2
76,62,6,70,100,0.25,A6Y6B2
77,12,14,70,100,0.2,A14Y1B2
78,13,14,70,100,0.17,A14Y1B3
79,62,5,70,100,0.17,A5Y6B2
80,12,6,70,100,0.12,A6Y1B2
81,13,5,70,100,0.08,A5Y1B3
82,12,16,70,100,0.07,A16Y1B2
83,13,16,70,100,0.07,A16Y1B3
84,12,5,70,100,0.06,A5Y1B2
85,13,6,70,100,0.04,A6Y1B3
