entry,R1R2_code,Y_code,R3_code,Temp_code,Ratio_code,yield,catalyst
0,15,3,1,70,100,0.97,A15Y3B1
1,3,3,1,70,100,0.93,A3Y3B1
2,3,5,1,70,100,0.93,A3Y5B1
3,8,3,1,70,100,0.93,A8Y3B1
4,3,2,1,70,100,0.92,A3Y2B1
5,3,4,1,70,100,0.92,A3Y4B1
6,8,1,1,70,100,0.9,A8Y1B1
7,13,2,1,70,100,0.9,A13Y2B1
8,3,12,1,70,100,0.88,A3Y12B1
9,13,5,1,70,100,0.88,A13Y5B1
10,2,11,1,70,100,0.86,A2Y11B1
11,10,3,1,70,100,0.85,A10Y3B1
12,1,8,1,70,100,0.84,A1Y8B1
13,3,1,1,70,100,0.83,A3Y1B1
14,4,11,1,70,100,0.83,A4Y11B1
15,10,2,1,70,100,0.83,A10Y2B1
16,9,2,1,70,100,0.82,A9Y2B1
17,10,1,1,70,100,0.82,A10Y1B1
18,1,1,3,70,100,0.79,A1Y1B3
19,3,6,1,70,100,0.79,A3Y6B1
20,9,1,1,70,100,0.78,A9Y1B1
21,14,2,1,70,100,0.78,A14Y2B1
22,1,2,1,70,100,0.77,A1Y2B1
23,5,11,1,70,100,0.76,A5Y11B1
24,16,2,1,70,100,0.76,A16Y2B1
25,14,10,1,70,100,0.73,A14Y10B1
26,1,11,1,70,100,0.72,A1Y11B1
27,1,1,1,70,100,0.72,A1Y1B1
28,3,7,1,70,100,0.72,A3Y7B1
29,7,1,1,70,100,0.7,A7Y1B1
30,14,1,1,70,100,0.69,A14Y1B1
31,1,1,2,70,100,0.68,A1Y1B2
32,10,6,1,70,100,0.68,A10Y6B1
33,11,10,1,70,100,0.65,A11Y10B1
34,12,10,1,70,100,0.65,A12Y10B1
35,1,5,2,70,100,0.64,A1Y5B2
36,16,3,1,70,100,0.64,A16Y3B1
37,1,3,1,70,100,0.63,A1Y3B1
38,3,8,1,70,100,0.63,A3Y8B1
39,6,2,1,70,100,0.6,A6Y2B1
40,6,9,1,70,100,0.6,A6Y9B1
41,6,3,1,70,100,0.59,A6Y3B1
42,3,1,2,70,100,0.58,A3Y1B2
43,6,5,1,70,100,0.57,A6Y5B1
44,6,1,1,70,100,0.56,A6Y1B1
45,3,9,1,70,100,0.55,A3Y9B1
46,1,9,1,70,100,0.5,A1Y9B1
47,8,6,1,70,100,0.45,A8Y6B1
48,14,5,2,70,100,0.44,A14Y5B2
49,3,1,3,70,100,0.39,A3Y1B3
50,6,8,1,70,100,0.37,A6Y8B1
51,6,5,2,70,100,0.3,A6Y5B2
52,14,1,2,70,100,0.2,A14Y1B2
53,14,1,3,70,100,0.17,A14Y1B3
54,6,1,2,70,100,0.12,A6Y1B2
55,6,1,3,70,100,0.04,A6Y1B3
56,1,10,1,70,100,0,A1Y10B1
57,1,10,2,70,100,0,A1Y10B2
58,1,10,3,70,100,0,A1Y10B3
59,1,11,2,70,100,0,A1Y11B2
60,1,11,3,70,100,0,A1Y11B3
61,1,12,1,70,100,0,A1Y12B1
62,1,12,2,70,100,0,A1Y12B2
63,1,12,3,70,100,0,A1Y12B3
64,1,2,2,70,100,0,A1Y2B2
65,1,2,3,70,100,0,A1Y2B3
66,1,3,2,70,100,0,A1Y3B2
67,1,3,3,70,100,0,A1Y3B3
68,1,4,1,70,100,0,A1Y4B1
69,1,4,2,70,100,0,A1Y4B2
70,1,4,3,70,100,0,A1Y4B3
71,1,5,1,70,100,0,A1Y5B1
72,1,5,3,70,100,0,A1Y5B3
73,1,6,1,70,100,0,A1Y6B1
74,1,6,2,70,100,0,A1Y6B2
75,1,6,3,70,100,0,A1Y6B3
76,1,7,1,70,100,0,A1Y7B1
77,1,7,2,70,100,0,A1Y7B2
78,1,7,3,70,100,0,A1Y7B3
79,1,8,2,70,100,0,A1Y8B2
80,1,8,3,70,100,0,A1Y8B3
81,1,9,2,70,100,0,A1Y9B2
82,1,9,3,70,100,0,A1Y9B3
83,2,10,1,70,100,0,A2Y10B1
84,2,10,2,70,100,0,A2Y10B2
85,2,10,3,70,100,0,A2Y10B3
86,2,1,1,70,100,0,A2Y1B1
87,2,11,2,70,100,0,A2Y11B2
88,2,11,3,70,100,0,A2Y11B3
89,2,12,1,70,100,0,A2Y12B1
90,2,1,2,70,100,0,A2Y1B2
91,2,12,2,70,100,0,A2Y12B2
92,2,12,3,70,100,0,A2Y12B3
93,2,1,3,70,100,0,A2Y1B3
94,2,2,1,70,100,0,A2Y2B1
95,2,2,2,70,100,0,A2Y2B2
96,2,2,3,70,100,0,A2Y2B3
97,2,3,1,70,100,0,A2Y3B1
98,2,3,2,70,100,0,A2Y3B2
99,2,3,3,70,100,0,A2Y3B3
100,2,4,1,70,100,0,A2Y4B1
