catalyst,AB,YB,AB_synth,YB_synth
A6Y1B3,A6B3,Y1B3,2,0
A5Y1B3,A5B3,Y1B3,2,0
A6Y1B2,A6B2,Y1B2,2,0
A14Y1B3,A14B3,Y1B3,2,0
A14Y1B2,A14B2,Y1B2,2,0
A6Y5B2,A6B2,Y5B2,2,2
A6Y8B1,A6B1,Y8B1,0,2
A3Y1B3,A3B3,Y1B3,0,0
A14Y5B2,A14B2,Y5B2,2,2
A8Y6B1,A8B1,Y6B1,2,0
A1Y9B1,A1B1,Y9B1,0,0
A3Y9B1,A3B1,Y9B1,0,0
A6Y1B1,A6B1,Y1B1,0,0
A6Y5B1,A6B1,Y5B1,0,0
A3Y1B2,A3B2,Y1B2,0,0
A6Y3B1,A6B1,Y3B1,0,0
A6Y2B1,A6B1,Y2B1,0,0
A6Y9B1,A6B1,Y9B1,0,0
A1Y3B1,A1B1,Y3B1,0,0
A3Y8B1,A3B1,Y8B1,0,2
A16Y3B1,A16B1,Y3B1,0,0
A1Y5B2,A1B2,Y5B2,0,2
A12Y10B1,A12B1,Y10B1,4,6
A11Y10B1,A11B1,Y10B1,2,6
A1Y1B2,A1B2,Y1B2,0,0
A10Y6B1,A10B1,Y6B1,6,0
A14Y1B1,A14B1,Y1B1,2,0
A7Y1B1,A7B1,Y1B1,0,0
A1Y1B1,A1B1,Y1B1,0,0
A14Y3B1,A14B1,Y3B1,2,0
A3Y7B1,A3B1,Y7B1,0,0
A14Y10B1,A14B1,Y10B1,2,6
A1Y11B1,A1B1,Y11B1,0,0
A5Y11B1,A5B1,Y11B1,2,0
A16Y2B1,A16B1,Y2B1,0,0
A14Y11B1,A14B1,Y11B1,2,0
A1Y2B1,A1B1,Y2B1,0,0
A14Y5B1,A14B1,Y5B1,2,0
A14Y2B1,A14B1,Y2B1,2,0
A3Y1B1,A3B1,Y1B1,0,0
A1Y1B3,A1B3,Y1B3,0,0
A3Y6B1,A3B1,Y6B1,0,0
A6Y11B1,A6B1,Y11B1,0,0
A7Y2B1,A7B1,Y2B1,0,0
A10Y1B1,A10B1,Y1B1,6,0
A4Y11B1,A4B1,Y11B1,0,0
A10Y2B1,A10B1,Y2B1,6,0
A1Y8B1,A1B1,Y8B1,0,2
A4Y1B2,A4B2,Y1B2,2,0
A10Y3B1,A10B1,Y3B1,6,0
A2Y11B1,A2B1,Y11B1,0,0
A3Y12B1,A3B1,Y12B1,0,4
A13Y5B1,A13B1,Y5B1,2,0
A4Y1B3,A4B3,Y1B3,2,0
A8Y1B1,A8B1,Y1B1,2,0
A13Y2B1,A13B1,Y2B1,2,0
A3Y2B1,A3B1,Y2B1,0,0
A3Y4B1,A3B1,Y4B1,0,4
A3Y3B1,A3B1,Y3B1,0,0
A8Y3B1,A8B1,Y3B1,2,0
A3Y5B1,A3B1,Y5B1,0,0
A11Y3B1,A11B1,Y3B1,2,0
A15Y3B1,A15B1,Y3B1,10,0
A1Y10B1,A1B1,Y10B1,0,6
A10Y10B1,A10B1,Y10B1,6,6
A13Y10B1,A13B1,Y10B1,2,6
A15Y10B1,A15B1,Y10B1,10,6
A16Y10B1,A16B1,Y10B1,0,6
A2Y10B1,A2B1,Y10B1,0,6
A3Y10B1,A3B1,Y10B1,0,6
A4Y10B1,A4B1,Y10B1,0,6
A5Y10B1,A5B1,Y10B1,2,6
A6Y10B1,A6B1,Y10B1,0,6
A7Y10B1,A7B1,Y10B1,0,6
A8Y10B1,A8B1,Y10B1,2,6
A9Y10B1,A9B1,Y10B1,2,6
A1Y10B2,A1B2,Y10B2,0,8
A10Y10B2,A10B2,Y10B2,6,8
A11Y10B2,A11B2,Y10B2,2,8
A12Y10B2,A12B2,Y10B2,6,8
A13Y10B2,A13B2,Y10B2,2,8
A14Y10B2,A14B2,Y10B2,2,8
A15Y10B2,A15B2,Y10B2,10,8
A16Y10B2,A16B2,Y10B2,2,8
A2Y10B2,A2B2,Y10B2,0,8
A3Y10B2,A3B2,Y10B2,0,8
A4Y10B2,A4B2,Y10B2,2,8
A5Y10B2,A5B2,Y10B2,2,8
A6Y10B2,A6B2,Y10B2,2,8
A7Y10B2,A7B2,Y10B2,2,8
A8Y10B2,A8B2,Y10B2,2,8
A9Y10B2,A9B2,Y10B2,2,8
A1Y10B3,A1B3,Y10B3,0,8
A10Y10B3,A10B3,Y10B3,6,8
A11Y10B3,A11B3,Y10B3,2,8
A12Y10B3,A12B3,Y10B3,6,8
A13Y10B3,A13B3,Y10B3,2,8
A14Y10B3,A14B3,Y10B3,2,8
A15Y10B3,A15B3,Y10B3,10,8
A16Y10B3,A16B3,Y10B3,2,8
A2Y10B3,A2B3,Y10B3,0,8
A3Y10B3,A3B3,Y10B3,0,8
A4Y10B3,A4B3,Y10B3,2,8
A5Y10B3,A5B3,Y10B3,2,8
A6Y10B3,A6B3,Y10B3,2,8
A7Y10B3,A7B3,Y10B3,2,8
A8Y10B3,A8B3,Y10B3,2,8
A9Y10B3,A9B3,Y10B3,2,8
A11Y1B1,A11B1,Y1B1,2,0
A10Y11B1,A10B1,Y11B1,6,0
A11Y11B1,A11B1,Y11B1,2,0
A12Y11B1,A12B1,Y11B1,4,0
A13Y11B1,A13B1,Y11B1,2,0
A15Y11B1,A15B1,Y11B1,10,0
A16Y11B1,A16B1,Y11B1,0,0
A12Y1B1,A12B1,Y1B1,4,0
A3Y11B1,A3B1,Y11B1,0,0
A13Y1B1,A13B1,Y1B1,2,0
A15Y1B1,A15B1,Y1B1,10,0
A16Y1B1,A16B1,Y1B1,0,0
A7Y11B1,A7B1,Y11B1,0,0
A8Y11B1,A8B1,Y11B1,2,0
A9Y11B1,A9B1,Y11B1,2,0
A2Y1B1,A2B1,Y1B1,0,0
A1Y11B2,A1B2,Y11B2,0,2
A10Y11B2,A10B2,Y11B2,6,2
A11Y11B2,A11B2,Y11B2,2,2
A12Y11B2,A12B2,Y11B2,6,2
A13Y11B2,A13B2,Y11B2,2,2
A14Y11B2,A14B2,Y11B2,2,2
A15Y11B2,A15B2,Y11B2,10,2
A16Y11B2,A16B2,Y11B2,2,2
A2Y11B2,A2B2,Y11B2,0,2
A3Y11B2,A3B2,Y11B2,0,2
A4Y11B2,A4B2,Y11B2,2,2
A5Y11B2,A5B2,Y11B2,2,2
A6Y11B2,A6B2,Y11B2,2,2
A7Y11B2,A7B2,Y11B2,2,2
A8Y11B2,A8B2,Y11B2,2,2
A9Y11B2,A9B2,Y11B2,2,2
A1Y11B3,A1B3,Y11B3,0,2
A10Y11B3,A10B3,Y11B3,6,2
A11Y11B3,A11B3,Y11B3,2,2
A12Y11B3,A12B3,Y11B3,6,2
A13Y11B3,A13B3,Y11B3,2,2
A14Y11B3,A14B3,Y11B3,2,2
A15Y11B3,A15B3,Y11B3,10,2
A16Y11B3,A16B3,Y11B3,2,2
A2Y11B3,A2B3,Y11B3,0,2
A3Y11B3,A3B3,Y11B3,0,2
A4Y11B3,A4B3,Y11B3,2,2
A5Y11B3,A5B3,Y11B3,2,2
A6Y11B3,A6B3,Y11B3,2,2
A7Y11B3,A7B3,Y11B3,2,2
A8Y11B3,A8B3,Y11B3,2,2
A9Y11B3,A9B3,Y11B3,2,2
A4Y1B1,A4B1,Y1B1,0,0
A5Y1B1,A5B1,Y1B1,2,0
A9Y1B1,A9B1,Y1B1,2,0
A10Y1B2,A10B2,Y1B2,6,0
A1Y12B1,A1B1,Y12B1,0,4
A11Y1B2,A11B2,Y1B2,2,0
A10Y12B1,A10B1,Y12B1,6,4
A11Y12B1,A11B1,Y12B1,2,4
A12Y12B1,A12B1,Y12B1,4,4
A13Y12B1,A13B1,Y12B1,2,4
A14Y12B1,A14B1,Y12B1,2,4
A15Y12B1,A15B1,Y12B1,10,4
A16Y12B1,A16B1,Y12B1,0,4
A2Y12B1,A2B1,Y12B1,0,4
A12Y1B2,A12B2,Y1B2,6,0
A13Y1B2,A13B2,Y1B2,2,0
A4Y12B1,A4B1,Y12B1,0,4
A5Y12B1,A5B1,Y12B1,2,4
A15Y1B2,A15B2,Y1B2,10,0
A6Y12B1,A6B1,Y12B1,0,4
A16Y1B2,A16B2,Y1B2,2,0
A7Y12B1,A7B1,Y12B1,0,4
A8Y12B1,A8B1,Y12B1,2,4
A9Y12B1,A9B1,Y12B1,2,4
A2Y1B2,A2B2,Y1B2,0,0
A1Y12B2,A1B2,Y12B2,0,6
A10Y12B2,A10B2,Y12B2,6,6
A11Y12B2,A11B2,Y12B2,2,6
A12Y12B2,A12B2,Y12B2,6,6
A13Y12B2,A13B2,Y12B2,2,6
A14Y12B2,A14B2,Y12B2,2,6
A15Y12B2,A15B2,Y12B2,10,6
A16Y12B2,A16B2,Y12B2,2,6
A2Y12B2,A2B2,Y12B2,0,6
A3Y12B2,A3B2,Y12B2,0,6
A4Y12B2,A4B2,Y12B2,2,6
A5Y12B2,A5B2,Y12B2,2,6
A6Y12B2,A6B2,Y12B2,2,6
A7Y12B2,A7B2,Y12B2,2,6
A8Y12B2,A8B2,Y12B2,2,6
A9Y12B2,A9B2,Y12B2,2,6
A1Y12B3,A1B3,Y12B3,0,6
A10Y12B3,A10B3,Y12B3,6,6
A11Y12B3,A11B3,Y12B3,2,6
A12Y12B3,A12B3,Y12B3,6,6
A13Y12B3,A13B3,Y12B3,2,6
A14Y12B3,A14B3,Y12B3,2,6
A15Y12B3,A15B3,Y12B3,10,6
A16Y12B3,A16B3,Y12B3,2,6
A2Y12B3,A2B3,Y12B3,0,6
A3Y12B3,A3B3,Y12B3,0,6
A4Y12B3,A4B3,Y12B3,2,6
A5Y12B3,A5B3,Y12B3,2,6
A6Y12B3,A6B3,Y12B3,2,6
A7Y12B3,A7B3,Y12B3,2,6
A8Y12B3,A8B3,Y12B3,2,6
A9Y12B3,A9B3,Y12B3,2,6
A5Y1B2,A5B2,Y1B2,2,0
A7Y1B2,A7B2,Y1B2,2,0
A8Y1B2,A8B2,Y1B2,2,0
A9Y1B2,A9B2,Y1B2,2,0
A10Y1B3,A10B3,Y1B3,6,0
A11Y1B3,A11B3,Y1B3,2,0
A12Y1B3,A12B3,Y1B3,6,0
A13Y1B3,A13B3,Y1B3,2,0
A15Y1B3,A15B3,Y1B3,10,0
A16Y1B3,A16B3,Y1B3,2,0
A2Y1B3,A2B3,Y1B3,0,0
